Neighborhood,Rates Data
Athmar Park,1218.5
Auraria,2388
Baker,1677.5
Barnum,1033
Barnum West,1836
Bear Valley,1382
Belcaro,2286
Berkeley,1773.5
CBD,1771.5
Capitol Hill,1388
Central Park,1565.89381578947
Chaffee Park,1228
Cheesman Park,1577.5
Cherry Creek,1973.5
City Park,1561.5
City Park West,1796.5
Civic Center,1565.89381578947
Clayton,1548.5
Cole,1686
College View South Platte,1402
Congress Park,1644
Cory Merrill,1799
Country Club,1955
East Colfax,1316
Elyria Swansea,1653
Five Points,1883.5
Fort Logan,1226.5
Gateway Green Valley Ranch,1512.5
Globeville,1617.5
Goldsmith,1216.5
Hale,1400.5
Hampden,1255.5
Hampden South,1605.5
Harvey Park,1223
Harvey Park South,1246.5
Highland,1876
Hilltop,1364.5
Indian Creek,1383
Jefferson Park,1611
Kennedy,1563.93317476383
Lincoln Park,1709.5
Lowry Field,1663
Mar Lee,991.5
Marston,1568.36180520952
Montclair,1381
North Capitol Hill,1388
North Park Hill,1518.5
Northeast Park Hill,1518.5
Overland,1547
Platt Park,1749.5
Regis,1211.5
Rosedale,1649.5
Sloan Lake,1433.5
Southmoor Park,1552
Speer,1574
Union Station,2088
University,1418.5
University Hills,1358
Villa Park,1994
Virginia Village,1236.5
Washington Park,1846.5
Wellshire,1582
West Colfax,1768.5
West Highland,1683
Westwood,1014
Windsor,1396.5
